course,req
ANTHRO 172B ,ANTHRO 172A 
ANTHRO 172T M ,ANTHRO 9 
ANTHRO 172V M ,ANTHRO 9 
ANTHRO 172V M ,CHICANO 10A 
ANTHRO 172V M ,CHICANO 10B 
ANTHRO 175W ,ANTHRO 9 
ANTHRO 180 ,ANTHRO 80  M 
ANTHRO 181 ,ANTHRO 9 
ANTHRO 185B ,ANTHRO 185A M 
ANTHRO 185B M ,ANTHRO 185A M 
ANTHRO 186B ,ANTHRO 186A 
ANTHRO 186P ,ANTHRO 7 
ANTHRO 188SA ,HNRS 101E 
ANTHRO 188SB ,ANTHRO 188SA 
ANTHRO 188SB ,HNRS 101E 
ANTHRO 188SC ,ANTHRO 188SB 
ANTHRO 189B CM ,ANTHRO 189A CM 
ANTHRO 196A M ,HNRS 7A 
ANTHRO 196A M ,HNRS 7B 
ANTHRO 196B M ,HNRS 7A 
ANTHRO 196B M ,HNRS 7B 
ANTHRO 201C M ,ANTHRO 201A M 
ANTHRO 201C M ,ANTHRO 201B M 
ANTHRO 222 ,ANTHRO 7 
ANTHRO 230 ,ANTHRO 203A 
ANTHRO 230 ,ANTHRO 203B 
ANTHRO 230 ,ANTHRO 203C 
ANTHRO 233P ,ANTHRO 133R 
ANTHRO 233Q ,ANTHRO 133R 
ANTHRO 242 ,ANTHRO 167 
ANTHRO 244 ,LING 20 
ANTHRO 246A M ,TESL&AP 201 
ANTHRO 247  M ,TESL&AP 201 
ANTHRO 249A ,ANTHRO 242 
ANTHRO 249A ,SOCIOL 244A 
ANTHRO 249A M ,ANTHRO 242  M 
ANTHRO 249A M ,SOCIOL 244A 
ANTHRO 249B M ,ANTHRO 249A M 
ANTHRO 249P M ,ANTHRO 249A M 
ANTHRO 249Q M ,ANTHRO 249B M 
ANTHRO 252B ,ANTHRO 252A 
ANTHRO 252B ,SOCIOL 244A 
ANTHRO 257P C ,ANTHRO 4 
ANTHRO 260 ,ANTHRO 167 
ANTHRO 286P ,ANTHRO 180 
ANTHRO 289B CM ,ANTHRO 289A CM 
ANTHRO 295 ,ANTHRO 203A 
ANTHRO 295 ,ANTHRO 203B 
ANTHRO 295 ,ANTHRO 203C 
ANTHRO 295 ,ANTHRO 204A 
ANTHRO 295 ,ANTHRO 204B 
AP&TESL 10W ,ENGCOMP 3 
AP&TESL 10W ,ESL 36 
AP&TESL 30 ,ENGCOMP 3 
AP&TESL 30 ,ESL 36 
AP&TESL 30W ,ENGCOMP 3 
AP&TESL 30W ,ESL 36 
AP&TESL 40W ,ENGCOMP 3 
AP&TESL 40W ,ESL 36 
AP&TESL 40W M ,ENGCOMP 3 
AP&TESL 40W M ,ESL 36 
AP&TESL 80 ,ENGCOMP 3 
AP&TESL 80 ,ESL 36 
